id;first_name;last_name;email;phone
1;Ayana;MacGyver;"YTt@HS?.G+Gc;";(313) 732-0015
2;Marisa;Heaney;">@(^nwZ{.}!iL";(171) 902-6995 x4155
3;Charlene;West;"Jz@Z5tt`.>Uy)wO";652-514-2820
4;Lucio;Sawayn;"98le@MxN.~}k$\";1-663-179-4701
5;Thaddeus;Crona;")@[g6*:|.!K3";1-872-181-4128 x0092
6;Brianne;Buckridge;"%@9HR4'.1";1-249-315-0091 x23962
7;Rosanna;Corwin;"9tK%@rEA.wAec";1-472-908-4585 x111
8;Dalton;Hoppe;"MH.GE@nH!Of2.pv";1-640-011-7764 x2473
9;Anika;Fahey;"8W@WN}.km$";478-693-3639
10;Lydia;Lang;"u@U.gO-pH";1-400-728-3683 x9290
